IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
149.28.62.21,443,TRUE,EWR,US,North America,Newark,20473,AS-CHOOPA,746,0.54
45.77.111.231,2053,TRUE,EWR,US,North America,Newark,20473,AS-CHOOPA,791,0.24
64.176.218.12,2053,TRUE,EWR,US,North America,Newark,20473,AS-CHOOPA,944,0.09
38.180.60.25,8443,TRUE,EWR,US,North America,Newark,9009,M247 Europe SRL,770,0.02
